dates,reachpermillion
2016-10-28,2110
2016-10-29,2280
2016-10-30,2770
2016-10-31,2200
2016-11-01,2290
2016-11-02,2280
2016-11-03,2200
2016-11-04,2210
2016-11-05,2510
2016-11-06,2690
2016-11-07,2340
2016-11-08,2100
2016-11-09,1730
2016-11-10,2920
2016-11-11,3650
2016-11-12,3460
2016-11-13,3350
2016-11-14,2950
2016-11-15,2740
2016-11-16,2780
2016-11-17,3070
2016-11-18,3300
2016-11-19,3890
2016-11-20,4380
2016-11-21,4470
2016-11-22,4880
2016-11-23,5380
2016-11-24,9900
2016-11-25,13000
2016-11-26,7680
2016-11-27,6640
2016-11-28,7700
2016-11-29,4790
2016-11-30,3010
2016-12-01,2730
2016-12-02,2760
2016-12-03,3310
2016-12-04,3670
2016-12-05,2930
2016-12-06,2750
2016-12-07,2720
2016-12-08,2730
2016-12-09,2500
2016-12-10,2960
2016-12-11,3120
2016-12-12,2820
2016-12-13,2670
2016-12-14,2550
2016-12-15,2430
2016-12-16,2660
2016-12-17,3030
2016-12-18,3230
2016-12-19,3150
2016-12-20,2910
2016-12-21,2870
2016-12-22,3050
2016-12-23,2940
2016-12-24,2840
2016-12-25,2950
2016-12-26,3950
2016-12-27,3290
2016-12-28,2800
2016-12-29,2780
2016-12-30,2810
2016-12-31,2700
2017-01-01,2560
2017-01-02,2510
2017-01-03,2100
2017-01-04,1970
2017-01-05,2190
2017-01-06,1930
2017-01-07,2310
2017-01-08,2370
2017-01-09,1900
2017-01-10,1810
2017-01-11,1800
2017-01-12,1890
2017-01-13,2380
2017-01-14,2630
2017-01-15,2810
2017-01-16,2450
2017-01-17,2000
2017-01-18,1980
2017-01-19,1910
2017-01-20,1920
2017-01-21,2440
2017-01-22,2430
2017-01-23,2030
2017-01-24,1710
2017-01-25,1720
2017-01-26,1570
2017-01-27,1690
2017-01-28,2040
2017-01-29,1900
2017-01-30,1620
2017-01-31,1580
2017-02-01,1470
2017-02-02,1470
2017-02-03,1520
